"Tipo_Aquisicao","Municipio","Origem","Comarca","Conta_Contabil","Cod_Produto","Qtd_Comprada","Valor_a_receber","Valor_Comprado","Restituido"
"Outros","BUÍQUE","SUS","TJPE","MEDICAMENTOS","4105362.1",8,"43000.21","67189.36","Sim"
"Outros","RECIFE","NÃO INFORMADO","RECIFE","MEDICAMENTOS","4048482.1176",24,"126877.92","126877.92","Nao"
"Outros","RECIFE","FILANTRÓPICO","JEFPC","NUTRIÇÃO","2958325.1361",6000,"545.4","545.4","Sim"
"Outros","TACARATU","FILANTRÓPICO","TJPE","MEDICAMENTOS","3206173.1",900,1611,1611,"Sim"
"Outros","RECIFE","SUS","RECIFE","MEDICAMENTOS","3414418.1",5640,201630,201630,"Nao"
"Outros","RECIFE","SUS","TJPE","MEDICAMENTOS","3126935.1653",15,"552622.5","552622.5","Nao"
"Outros","JABOATÃO DOS GUARARAPES","SUS","JABOATÃO DOS GUARARAPES","MEDICAMENTOS","4324994.1473",360,"111848.4","111848.4","Sim"
"Outros","JABOATÃO DOS GUARARAPES","SUS","JABOATÃO DOS GUARARAPES","MEDICAMENTOS CONTROLADOS","3339580.1473",270,"639.9","639.9","Nao"
"Outros","PESQUEIRA","PRIVADO","PESQUEIRA","MEDICAMENTOS","3954633.1",140,"89500.6","89500.6","Nao"
"Outros","CABO DE SANTO AGOSTINHO","NÃO INFORMADO","CABO DE SANTO AGOSTINHO","MEDICAMENTOS","3126935.1653",6,221049,221049,"Sim"
"Outros","RECIFE","SUS","RECIFE","MEDICAMENTOS","3935167.1863",72,"40209.12","40209.12","Nao"
"Outros","RECIFE","FILANTRÓPICO","RECIFE","MEDICAMENTOS","4201477.1990",360,"18849.6","18849.6","Sim"
"Outros","OLINDA","FILANTRÓPICO","JFPE","MEDICAMENTOS","3126935.1653",10,368415,368415,"Nao"
"Outros","RECIFE","SUS","RECIFE","MEDICAMENTOS","3414418.1",780,27885,27885,"Sim"
"Outros","JABOATÃO DOS GUARARAPES","NÃO INFORMADO","RECIFE","MEDICAMENTOS","4213327.1911",960,67845216,67845216,"Nao"
"Outros","PETROLINA","NÃO INFORMADO","JFPE","MEDICAMENTOS","3126935.1653",1,"36841.5","36841.5","Nao"
"Outros","RECIFE","SUS","RECIFE","MEDICAMENTOS","3476251.1911",280,"53057.2","53057.2","Nao"
"Outros","RECIFE","SUS","JEFPC","MEDICAMENTOS","3343855.1",180,540,540,"Sim"
"Outros","GOIANA","SUS","GOIANA","MEDICAMENTOS","4324994.1473",360,"111848.4","111848.4","Sim"
"Outros","PETROLINA","FILANTRÓPICO","JFPE","MEDICAMENTOS CONTROLADOS","3389111.1911",380,"1622.6","1622.6","Sim"
"Outros","PETROLINA","FILANTRÓPICO","JFPE","MEDICAMENTOS","3447502.1",48,100000,"239712.96","Nao"
"Outros","AFOGADOS DA INGAZEIRA","SUS","AFOGADOS DA INGAZEIRA","MEDICAMENTOS","335796-1.1911",180,"3790.8","3790.8","Sim"
"Outros","ESCADA","SUS","RECIFE","MEDICAMENTOS","3362140.1473",300,321,441,"Nao"
"Outros","RECIFE","PRIVADO","RECIFE","NUTRIÇÃO","414402-3.21",15000,11000,15000,"Sim"
"Outros","TRACUNHAÉM","SUS","RECIFE","MEDICAMENTOS","3118614.1",180,"995.4","995.4","Sim"
"Outros","RECIFE","SUS","RECIFE","MEDICAMENTOS CONTROLADOS","3502333.1",180,"1020.6","1020.6","Sim"
"Outros","JABOATÃO DOS GUARARAPES","SUS","JABOATÃO DOS GUARARAPES","MEDICAMENTOS CONTROLADOS","3356795.1",12600,29484,29484,"Nao"
"Outros","PALMARES","PRIVADO","PALMARES","MEDICAMENTOS CONTROLADOS","3356523.1473",1440,720,720,"Sim"
"Outros","CAMARAGIBE","PRIVADO","JFPE","NUTRIÇÃO","3223060.21",28800,7056,7056,"Sim"
"Outros","OLINDA","PRIVADO","OLINDA","NUTRIÇÃO","4416481.116",72000,6840,6840,"Nao"
"Outros","RECIFE","SUS","RECIFE","SPGV","3204480.1382",180,"12475.8","12475.8","Nao"
