"Tipo_Aquisicao","Municipio","Origem","Comarca","Conta_Contabil","Qtd_Comprada","Valor_a_receber","Valor_Comprado"
"Outros","Agreste","SUS","Recife","ANTIMICROBIANOS",390,0,593463
"Outros","Grande_recife","FILANTRÓPICO","Recife","NUTRIÇÃO",250,0,"582.5"
"Outros","Agreste","SUS","JFPE","MEDICAMENTOS",32,0,"82.88"
"Outros","Agreste","SUS","Recife","MEDICAMENTOS",30,0,"35.1"
"Outros","Grande_recife","PRIVADO","Recife","MEDICAMENTOS",20,0,"1971.6"
"Outros","Grande_recife","PRIVADO","JFPE","MEDICAMENTOS CONTROLADOS",120,0,222
"Outros","Grande_recife","SUS","Recife","MEDICAMENTOS",180,0,"3016.8"
"Outros","Agreste","SUS","JEFPC","MEDICAMENTOS",3,0,"7664.79"
"Outros","Grande_recife","SUS","Olinda","MEDICAMENTOS",2,0,"36.52"
"Outros","Zona_da_mata","SUS","JFPE","MEDICAMENTOS",360,0,"49651.2"
"Outros","Agreste","SUS","JFPE","MEDICAMENTOS CONTROLADOS",90,0,117
"Outros","Sertao","SUS","Jaboatao","MEDICAMENTOS CONTROLADOS",60,0,"928.8"
"Adesão","Grande_recife","FILANTRÓPICO","Recife","MEDICAMENTOS",1100,0,1870
"Pregão","Zona_da_mata","SUS","Recife","MEDICAMENTOS",2240,"363008.52","1075580.8"
"Dispensa","Zona_da_mata","PRIVADO","Recife","MEDICAMENTOS",360,"14126.4","14126.4"
"Dispensa","Grande_recife","SUS","TJPE","MEDICAMENTOS",54,57267,57267
"Outros","Agreste","PRIVADO","Recife","MEDICAMENTOS",60,0,837
"Outros","Sertao","SUS","JEFPC","MEDICAMENTOS",28,0,"2916.48"
"Outros","Grande_recife","PRIVADO","TJPE","MEDICAMENTOS",42,0,"8814.12"
"Outros","Sertao","FILANTRÓPICO","Recife","MEDICAMENTOS",56,0,"161.28"
"Outros","Grande_recife","NÃO INFORMADO","TJPE","MEDICAMENTOS",90,0,"24103.8"
"Outros","Grande_recife","FILANTRÓPICO","Jaboatao","MEDICAMENTOS",4,0,"4150.8"
"Outros","Grande_recife","SUS","Jaboatao","MEDICAMENTOS CONTROLADOS",660,0,"151.8"
"Outros","Grande_recife","SUS","Olinda","NUTRIÇÃO",36800,0,18032
"Outros","Zona_da_mata","SUS","TJPE","NUTRIÇÃO",7200,0,3528
"Outros","Agreste","SUS","Recife","NUTRIÇÃO",5,0,"343.05"
"Outros","Grande_recife","SUS","JEFPC","MATERIAL MEDICO HOSPITALAR",56,0,"58.8"
"Outros","Agreste","SUS","TJPE","MEDICAMENTOS",15,0,"172.2"
"Outros","Agreste","SUS","Recife","NUTRIÇÃO",1600,0,784
"Outros","Grande_recife","SUS","TJPE","NUTRIÇÃO",8000,0,1120
"Outros","Grande_recife","SUS","Jaboatao","MATERIAL MEDICO HOSPITALAR",97,0,"101.85"
"Outros","Grande_recife","PRIVADO","Jaboatao","MATERIAL MEDICO HOSPITALAR",150,0,"280.5"
"Outros","Agreste","SUS","Olinda","MEDICAMENTOS",180,0,33489
"Outros","Grande_recife","SUS","Olinda","MEDICAMENTOS CONTROLADOS",60,0,"12.6"
"Outros","Zona_da_mata","PRIVADO","Recife","MEDICAMENTOS CONTROLADOS",90,0,"898.2"
"Outros","Agreste","SUS","Recife","MEDICAMENTOS CONTROLADOS",180,0,"397.8"
"Outros","Sertao","FILANTRÓPICO","JFPE","MEDICAMENTOS CONTROLADOS",30,0,"196.8"
"Outros","Grande_recife","FILANTRÓPICO","Recife","MEDICAMENTOS",240,0,"1327.2"
