"Tipo_Aquisicao","Municipio","Origem","Comarca","Conta_Contabil","Qtd_Comprada","Valor_a_receber","Valor_Comprado","Restituido"
"Outros","Grande_recife","SUS","TJPE","MEDICAMENTOS",8,"43000.21","67189.36","Sim"
"Outros","Zona_da_mata","NÃO INFORMADO","Recife","MEDICAMENTOS",24,"126877.92","126877.92","Nao"
"Outros","Agreste","FILANTRÓPICO","JEFPC","NUTRIÇÃO",6000,"545.4","545.4","Sim"
"Outros","Sertao","FILANTRÓPICO","TJPE","MEDICAMENTOS",900,1611,1611,"Sim"
"Outros","Grande_recife","SUS","Recife","MEDICAMENTOS",5640,201630,201630,"Nao"
"Outros","Zona_da_mata","SUS","TJPE","MEDICAMENTOS",15,"552622.5","552622.5","Nao"
"Outros","Zona_da_mata","SUS","Jaboatao","MEDICAMENTOS",360,"111848.4","111848.4","Sim"
"Outros","Grande_recife","SUS","Jaboatao","MEDICAMENTOS CONTROLADOS",270,"639.9","639.9","Nao"
"Outros","Agreste","PRIVADO","Olinda","MEDICAMENTOS",140,"89500.6","89500.6","Nao"
"Outros","Sertao","NÃO INFORMADO","Olinda","MEDICAMENTOS",6,221049,221049,"Sim"
"Outros","Grande_recife","SUS","Recife","MEDICAMENTOS",72,"40209.12","40209.12","Nao"
"Outros","Sertao","FILANTRÓPICO","Recife","MEDICAMENTOS",360,"18849.6","18849.6","Sim"
"Outros","Grande_recife","FILANTRÓPICO","JFPE","MEDICAMENTOS",10,368415,368415,"Nao"
"Outros","Grande_recife","SUS","Recife","MEDICAMENTOS",780,27885,27885,"Sim"
"Outros","Grande_recife","NÃO INFORMADO","Recife","MEDICAMENTOS",960,67845216,67845216,"Nao"
"Outros","Grande_recife","NÃO INFORMADO","JFPE","MEDICAMENTOS",1,"36841.5","36841.5","Nao"
"Outros","Zona_da_mata","SUS","Recife","MEDICAMENTOS",280,"53057.2","53057.2","Nao"
"Outros","Agreste","SUS","JEFPC","MEDICAMENTOS",180,540,540,"Sim"
"Outros","Grande_recife","SUS","Olinda","MEDICAMENTOS",360,"111848.4","111848.4","Sim"
"Outros","Agreste","FILANTRÓPICO","JFPE","MEDICAMENTOS CONTROLADOS",380,"1622.6","1622.6","Sim"
"Outros","Agreste","FILANTRÓPICO","JFPE","MEDICAMENTOS",48,100000,"239712.96","Nao"
"Outros","Grande_recife","SUS","Jaboatao","MEDICAMENTOS",180,"3790.8","3790.8","Sim"
"Outros","Grande_recife","SUS","Recife","MEDICAMENTOS",300,321,441,"Nao"
"Outros","Grande_recife","PRIVADO","Recife","NUTRIÇÃO",15000,11000,15000,"Sim"
"Outros","Agreste","SUS","Recife","MEDICAMENTOS",180,"995.4","995.4","Sim"
"Outros","Grande_recife","SUS","TJPE","MEDICAMENTOS CONTROLADOS",180,"1020.6","1020.6","Sim"
"Outros","Zona_da_mata","SUS","Recife","MEDICAMENTOS CONTROLADOS",12600,29484,29484,"Nao"
"Outros","Agreste","PRIVADO","JEFPC","MEDICAMENTOS CONTROLADOS",1440,720,720,"Sim"
"Outros","Sertao","PRIVADO","TJPE","NUTRIÇÃO",28800,7056,7056,"Sim"
"Outros","Grande_recife","PRIVADO","Recife","NUTRIÇÃO",72000,6840,6840,"Nao"
"Outros","Zona_da_mata","SUS","TJPE","SPGV",180,"12475.8","12475.8","Nao"
"Outros","Zona_da_mata","PRIVADO","Jaboatao","NUTRIÇÃO",28800,5760,5760,"Sim"
"Outros","Grande_recife","FILANTRÓPICO","Jaboatao","NUTRIÇÃO",200,48,48,"Nao"
"Outros","Agreste","FILANTRÓPICO","Olinda","NUTRIÇÃO",200,25,48,"Nao"
"Outros","Sertao","SUS","Olinda","NUTRIÇÃO",12000,5880,5880,"Sim"
"Outros","Grande_recife","PRIVADO","Recife","NUTRIÇÃO",220800,"52484.16","52484.16","Nao"
"Outros","Sertao","SUS","Recife","MEDICAMENTOS",48,"56929.44","56929.44","Sim"
"Outros","Grande_recife","FILANTRÓPICO","JFPE","MEDICAMENTOS",540,13500,13500,"Nao"
"Outros","Grande_recife","FILANTRÓPICO","Recife","MEDICAMENTOS",18,"20510.46","20510.46","Sim"
"Outros","Grande_recife","PRIVADO","Recife","MEDICAMENTOS",8,"25678.22","67189.36","Nao"
"Outros","Grande_recife","SUS","JFPE","MEDICAMENTOS",1,"3205.12","5286.58","Nao"
"Outros","Zona_da_mata","PRIVADO","Recife","MEDICAMENTOS",540,"71222.78","74644.2","Nao"
"Outros","Agreste","PRIVADO","JEFPC","MEDICAMENTOS",7,"76157.34","76157.34","Sim"
"Outros","Grande_recife","SUS","Olinda","MEDICAMENTOS",7,45000,"76157.34","Sim"
"Outros","Agreste","SUS","JFPE","MEDICAMENTOS",2,18456,"19111.64","Sim"
"Outros","Agreste","FILANTRÓPICO","JFPE","MATERIAL MEDICO HOSPITALAR",1,21000,21000,"Nao"
"Outros","Grande_recife","NÃO INFORMADO","Jaboatao","MEDICAMENTOS",100,11000,14000,"Sim"
"Outros","Grande_recife","SUS","Recife","NUTRIÇÃO",63000,1700,1890,"Nao"
"Outros","Grande_recife","SUS","Recife","MEDICAMENTOS",1080,11322,"20379.6","Sim"
"Outros","Agreste","NÃO INFORMADO","Recife","MEDICAMENTOS",1260,1000,"2091.6","Sim"
"Outros","Grande_recife","FILANTRÓPICO","TJPE","MEDICAMENTOS",910,25000,"37209.9","Sim"
"Outros","Zona_da_mata","PRIVADO","Recife","MEDICAMENTOS",60,80000,"96683.4","Nao"
"Outros","Agreste","PRIVADO","JEFPC","MEDICAMENTOS",1080,"14072.4","14072.4","Sim"
"Outros","Sertao","SUS","TJPE","MEDICAMENTOS",12,"101502.24","101502.24","Sim"
"Outros","Grande_recife","SUS","Recife","MEDICAMENTOS",24,"126877.92","126877.92","Nao"
"Outros","Zona_da_mata","FILANTRÓPICO","TJPE","MEDICAMENTOS",6,"50751.12","50751.12","Nao"
"Outros","Zona_da_mata","FILANTRÓPICO","Jaboatao","MEDICAMENTOS",360,"72367.2","72367.2","Sim"
"Outros","Grande_recife","SUS","Jaboatao","NUTRIÇÃO",24000,3600,3600,"Nao"
"Outros","Agreste","FILANTRÓPICO","Olinda","MEDICAMENTOS",20,"4.2","4.2","Nao"
"Outros","Sertao","SUS","Olinda","MEDICAMENTOS",90,"104.4","104.4","Sim"
"Outros","Grande_recife","SUS","Recife","MEDICAMENTOS",400,868,868,"Nao"
"Outros","Sertao","SUS","Recife","MEDICAMENTOS",56,"118.72","118.72","Sim"
"Outros","Grande_recife","SUS","JFPE","MEDICAMENTOS CONTROLADOS",440,66,66,"Nao"
"Outros","Grande_recife","SUS","Recife","MEDICAMENTOS CONTROLADOS",60,"97.2","97.2","Sim"
"Outros","Grande_recife","FILANTRÓPICO","Recife","MEDICAMENTOS CONTROLADOS",180,"32.4","32.4","Nao"
"Outros","Grande_recife","PRIVADO","JFPE","MEDICAMENTOS CONTROLADOS",30,"66.6","66.6","Nao"
"Outros","Zona_da_mata","SUS","Recife","MEDICAMENTOS CONTROLADOS",90,"38.7","38.7","Nao"
"Outros","Agreste","PRIVADO","JEFPC","NUTRIÇÃO",24000,1440,1440,"Sim"
"Outros","Grande_recife","FILANTRÓPICO","Olinda","NUTRIÇÃO",2400,900,1008,"Sim"
"Outros","Agreste","SUS","JFPE","NUTRIÇÃO",36000,2300,5400,"Sim"
"Outros","Agreste","SUS","JFPE","NUTRIÇÃO",8100,324,324,"Nao"
"Outros","Grande_recife","FILANTRÓPICO","Jaboatao","NUTRIÇÃO",24000,5880,5880,"Sim"
"Outros","Grande_recife","FILANTRÓPICO","Recife","NUTRIÇÃO",48000,4080,4080,"Nao"
"Outros","Grande_recife","SUS","Recife","MEDICAMENTOS",180,"709.2","709.2","Sim"
"Outros","Agreste","SUS","Recife","MEDICAMENTOS CONTROLADOS",600,2538,2538,"Sim"
"Outros","Grande_recife","FILANTRÓPICO","TJPE","MEDICAMENTOS",1800,1080,1080,"Sim"
"Outros","Zona_da_mata","SUS","Recife","MEDICAMENTOS",2,19000,4564,"Nao"
"Outros","Agreste","NÃO INFORMADO","JEFPC","MEDICAMENTOS",4,3489,"4699.6","Sim"
"Outros","Sertao","SUS","TJPE","MEDICAMENTOS",30,"4775.1","4775.1","Sim"
"Outros","Grande_recife","SUS","Recife","MEDICAMENTOS",30,2300,"4775.1","Nao"
"Outros","Zona_da_mata","NÃO INFORMADO","TJPE","MEDICAMENTOS",180,"64.8",972,"Nao"
"Outros","Zona_da_mata","NÃO INFORMADO","Jaboatao","MEDICAMENTOS",20,0,3669,"Sim"
"Outros","Grande_recife","FILANTRÓPICO","Jaboatao","MEDICAMENTOS",16,0,"4083.84","Nao"
"Outros","Agreste","SUS","Olinda","NUTRIÇÃO",9600,0,960,"Nao"
"Outros","Sertao","FILANTRÓPICO","Olinda","MEDICAMENTOS CONTROLADOS",180,0,"168.12","Sim"
"Outros","Grande_recife","SUS","Recife","MEDICAMENTOS",6,0,"2730.84","Nao"
"Outros","Sertao","PRIVADO","Recife","MEDICAMENTOS",4,"4661.4","4661.4","Sim"
"Outros","Grande_recife","FILANTRÓPICO","JFPE","MEDICAMENTOS",4,0,"4661.4","Nao"
"Outros","Grande_recife","SUS","Recife","MEDICAMENTOS CONTROLADOS",60,0,"4870.2","Sim"
"Outros","Grande_recife","SUS","Recife","NUTRIÇÃO",5760,0,"1612.8","Nao"
"Outros","Grande_recife","PRIVADO","JFPE","MEDICAMENTOS CONTROLADOS",5700,5130,5130,"Nao"
"Outros","Zona_da_mata","SUS","Recife","MATERIAL MEDICO HOSPITALAR",1500,0,1050,"Nao"
"Outros","Agreste","FILANTRÓPICO","JEFPC","MATERIAL MEDICO HOSPITALAR",1620,0,"1603.8","Sim"
"Outros","Grande_recife","FILANTRÓPICO","Olinda","MEDICAMENTOS CONTROLADOS",540,0,"6658.2","Sim"
"Outros","Zona_da_mata","SUS","JFPE","MEDICAMENTOS",18,0,"43357.86","Sim"
"Outros","Agreste","NÃO INFORMADO","JFPE","MEDICAMENTOS",18,"43357.86","43357.86","Nao"
"Outros","Sertao","PRIVADO","Jaboatao","MEDICAMENTOS",50,"57786.5","57786.5","Sim"
"Outros","Grande_recife","SUS","Recife","MEDICAMENTOS",50,0,"57786.5","Nao"
"Outros","Zona_da_mata","FILANTRÓPICO","Recife","MEDICAMENTOS",392,0,"1121.12","Sim"
"Outros","Zona_da_mata","SUS","Recife","MEDICAMENTOS",308,0,"588.28","Sim"
"Outros","Grande_recife","SUS","TJPE","MEDICAMENTOS",196,"329.28","329.28","Sim"
"Outros","Agreste","FILANTRÓPICO","Recife","MEDICAMENTOS",196,0,"329.28","Nao"
"Outros","Sertao","SUS","JEFPC","MEDICAMENTOS",360,"6033.6","6033.6","Sim"
"Outros","Grande_recife","SUS","TJPE","MEDICAMENTOS",360,0,"6033.6","Sim"
"Outros","Sertao","SUS","Recife","MEDICAMENTOS",2400,0,1560,"Nao"
"Outros","Grande_recife","PRIVADO","TJPE","MEDICAMENTOS",9000,12150,12150,"Nao"
"Outros","Grande_recife","NÃO INFORMADO","Jaboatao","MEDICAMENTOS",9000,"16.2",12150,"Sim"
"Outros","Grande_recife","PRIVADO","Jaboatao","MEDICAMENTOS CONTROLADOS",180,"910.8","910.8","Nao"
"Outros","Grande_recife","PRIVADO","Olinda","MEDICAMENTOS CONTROLADOS",180,0,"910.8","Nao"
