Fornecedor,ContaContabil,UniMedida,QtdReceber,QtdComprada,ValorReceber,ValorComprado,Recuperadas
0,1,0,0,8,0.0,67189.36,1
0,1,1,0,24,0.0,126877.92,1
1,0,2,0,6000,0.0,545.4,0
2,1,0,0,900,0.0,1611.0,1
3,1,3,0,5640,0.0,201630.0,1
4,1,1,0,15,0.0,552622.5,0
4,1,3,0,360,0.0,111848.4,0
5,3,3,0,270,0.0,639.9,0
6,1,3,0,140,0.0,89500.6,1
4,1,1,0,6,0.0,221049.0,1
1,1,4,0,72,0.0,40209.12,0
2,1,3,0,360,0.0,18849.6,0
3,1,1,0,10,0.0,368415.0,1
3,1,3,0,780,0.0,27885.0,0
3,1,5,0,960,0.0,67845216,1
3,1,1,0,1,0.0,36841.5,1
3,1,5,0,280,0.0,53057.2,0
3,1,8,0,180,0.0,540.0,0
3,1,3,0,360,0.0,111848.4,0
3,3,5,0,380,0.0,1622.6,0
4,1,0,0,48,0.0,239712.96,1
5,1,5,180,180,3790.8,3790.8,0
6,1,3,0,300,0.0,441.0,0
7,0,6,0,15000,0.0,15000.0,0
8,1,0,0,180,0.0,995.4,1
4,3,5,0,180,0.0,1020.6,0
1,3,3,0,12600,0.0,29484.0,0
9,3,3,0,1440,0.0,720.0,1
10,0,6,0,28800,0.0,7056.0,0
10,0,2,0,72000,0.0,6840.0,0
11,6,7,0,180,0.0,12475.8,1
12,0,6,0,28800,0.0,5760.0,1
12,0,6,0,200,0.0,48.0,1
10,0,6,0,200,0.0,48.0,0
3,0,6,0,12000,0.0,5880.0,0
3,0,6,0,220800,0.0,52484.16,1
1,1,1,0,48,0.0,56929.44,1
13,1,3,0,540,0.0,13500.0,0
8,1,0,0,18,0.0,20510.46,1
0,1,0,0,8,0.0,67189.36,0
0,1,1,0,1,0.0,5286.58,0
0,1,3,0,540,0.0,74644.2,0
2,1,1,7,7,76157.34,76157.34,0
2,1,1,0,7,0.0,76157.34,1
1,1,1,0,2,0.0,19111.64,1
7,2,0,1,1,21000.0,21000.0,0
3,1,1,0,100,0.0,14000.0,1
3,0,2,0,63000,0.0,1890.0,1
14,1,4,600,1080,11322.0,20379.6,1
14,1,0,0,1260,0.0,2091.6,1
4,1,3,0,910,0.0,37209.9,1
4,1,1,0,60,0.0,96683.4,1
4,1,3,0,1080,0.0,14072.4,0
0,1,1,0,12,0.0,101502.24,1
0,1,1,0,24,0.0,126877.92,0
0,1,1,0,6,0.0,50751.12,1
2,1,5,0,360,0.0,72367.2,1
10,0,6,0,24000,0.0,3600.0,0
3,1,3,0,20,0.0,4.2,1
3,1,3,0,90,0.0,104.4,0
3,1,5,0,400,0.0,868.0,0
3,1,3,0,56,0.0,118.72,0
3,3,3,0,440,0.0,66.0,0
3,3,3,0,60,0.0,97.2,0
3,3,3,0,180,0.0,32.4,0
3,3,5,0,30,0.0,66.6,0
3,3,5,0,90,0.0,38.7,0
3,0,6,0,24000,0.0,1440.0,0
3,0,6,0,2400,0.0,1008.0,1
10,0,6,0,36000,0.0,5400.0,1
10,0,6,0,8100,0.0,324.0,0
10,0,6,0,24000,0.0,5880.0,1
10,0,6,0,48000,0.0,4080.0,0
8,1,3,0,180,0.0,709.2,1
8,3,0,0,600,0.0,2538.0,0
8,1,3,0,1800,0.0,1080.0,0
3,1,1,0,2,0.0,4564.0,1
3,1,1,0,4,0.0,4699.6,0
8,1,1,30,30,4775.1,4775.1,1
8,1,1,0,30,0.0,4775.1,1
8,1,3,12,180,64.8,972.0,1
4,1,15,0,20,0.0,3669.0,1
4,1,16,0,16,0.0,4083.84,0
15,0,6,0,9600,0.0,960.0,0
16,3,3,0,180,0.0,168.12,0
1,1,4,0,6,0.0,2730.84,0
1,1,4,4,4,4661.4,4661.4,0
1,1,17,0,4,0.0,4661.4,0
1,3,9,0,60,0.0,4870.2,0
17,0,6,0,5760,0.0,1612.8,0
18,3,3,5700,5700,5130.0,5130.0,0
19,2,0,0,1500,0.0,1050.0,1
20,2,0,0,1620,0.0,1603.8,0
4,3,8,0,540,0.0,6658.2,1
1,1,0,0,18,0.0,43357.86,1
1,1,0,18,18,43357.86,43357.86,0
1,1,4,50,50,57786.5,57786.5,0
1,1,17,0,50,0.0,57786.5,1
4,1,0,0,392,0.0,1121.12,1
4,1,3,0,308,0.0,588.28,1
2,1,0,196,196,329.28,329.28,1
2,1,0,0,196,0.0,329.28,0
8,1,8,360,360,6033.6,6033.6,0
8,1,8,0,360,0.0,6033.6,1
8,1,3,0,2400,0.0,1560.0,1
8,1,0,9000,9000,12150.0,12150.0,0
8,1,0,12,9000,16.2,12150.0,1
21,3,3,180,180,910.8,910.8,0
21,3,3,0,180,0.0,910.8,0
15,0,6,0,9600,0.0,888.0,1
9,1,0,24,360,72.0,1080.0,0
1,1,0,180,180,90617.4,90617.4,1
3,1,1,0,8,0.0,34356.8,1
10,0,6,0,24000,0.0,5880.0,1
3,0,6,0,1400,0.0,266.0,1
20,2,0,0,4,0.0,3.96,1
22,1,3,0,600,0.0,600.0,0
22,3,3,0,224,0.0,1113.28,0
1,3,3,0,600,0.0,1596.0,1
23,1,1,0,5,0.0,3890.2,0
22,1,0,0,120,0.0,12458.4,0
12,0,6,0,15000,0.0,34050.0,0
12,0,6,283200,283200,25488.0,25488.0,0
10,0,6,0,250,0.0,582.5,0
21,3,3,0,2100,0.0,588.0,1
21,1,16,0,12,0.0,122.88,1
21,1,3,0,540,0.0,1701.0,1
8,3,3,0,5100,0.0,2907.0,0
2,1,3,360,360,18849.6,18849.6,0
3,0,6,0,16000,0.0,7840.0,1
7,2,0,0,2800,0.0,4557.84,0
7,0,2,0,1506000,0.0,32077.8,1
24,1,5,0,1344,0.0,72979.2,1
5,1,1,0,6,0.0,14352.6,1
10,0,6,0,16800,0.0,2520.0,1
19,5,0,0,1080,0.0,950.4,1
1,1,5,0,90,0.0,802.8,0
1,1,5,0,90,0.0,802.8,1
3,1,1,0,2,0.0,8589.2,1
12,0,2,0,223200,0.0,31248.0,1
12,0,2,0,192000,0.0,2880.0,0
21,3,3,0,1200,0.0,864.0,1
21,3,3,0,360,0.0,140.4,0
6,1,0,0,720,0.0,1216.8,1
21,1,3,0,540,0.0,10216.8,0
10,0,6,0,74400,0.0,18228.0,0
8,1,5,0,720,0.0,51055.2,0
5,0,2,0,30000,0.0,2700.0,0
5,1,3,0,100,0.0,24.0,1
5,1,3,0,30,0.0,24.9,0
5,1,1,0,2,0.0,636.6,0
3,1,3,0,200,0.0,122.12,0
3,1,3,0,100,0.0,124.91,1
3,3,3,0,30,0.0,8.4,1
3,0,2,0,6600,0.0,396.0,0
5,1,1,0,12,0.0,51535.2,1
5,1,1,0,2,0.0,8589.2,0
22,1,0,0,15,0.0,61524.3,0
25,1,3,40,1440,100.0,3600.0,0
10,0,6,0,9600,0.0,2352.0,1
22,1,0,0,196,0.0,472.36,0
0,1,0,0,8,0.0,67189.36,1
26,1,3,180,180,56633256,56633256,0
3,1,1,0,2,0.0,4564.0,0
4,1,1,0,30,0.0,99947.4,1
5,0,2,0,12000,0.0,360.0,0
5,1,1,0,2,0.0,22617.8372,0
3,2,0,0,190,0.0,153.9,0
3,1,1,0,6,0.0,3124.32,1
3,1,1,0,2,0.0,22617.84,1
3,1,1,0,4,0.0,8782.64,1
3,1,5,0,180,0.0,437.4,0
3,1,5,0,100,0.0,294.0,0
3,1,1,0,9,0.0,2864.7,1
3,1,18,0,65,0.0,2267.85,1
3,1,3,0,90,0.0,218.7,0
3,1,3,0,360,0.0,22384.8,0
3,1,5,0,28,0.0,5400.64,1
3,1,3,0,100,0.0,47.0,0
3,1,3,0,60,0.0,8293.8,0
3,1,3,0,84,0.0,193.2,1
3,3,3,0,90,0.0,1093.5,1
3,3,3,0,160,0.0,38.4,0
3,3,5,0,90,0.0,5.4,0
3,3,3,0,60,0.0,172.8,1
3,3,5,0,90,0.0,199.8,0
3,3,3,0,90,0.0,99.0,1
3,1,0,0,50,0.0,1420.5,0
3,1,3,0,60,0.0,36.6,1
3,1,0,0,62,0.0,106.64,1
3,1,1,0,2,0.0,631.06,1
3,3,3,0,320,0.0,368.0,0
3,3,3,0,60,0.0,172.8,1
3,0,6,0,24000,0.0,1440.0,0
3,7,3,0,42,0.0,7.56,0
3,1,1,0,5,0.0,8071.55,0
3,1,1,0,13,0.0,151055.19,0
3,1,16,0,15,0.0,31466.4,1
27,1,1,0,17,0.0,228790.76,1
1,1,3,0,8,0.0,4.64,0
28,1,0,0,3,0.0,5011.23,1
29,4,0,0,1,0.0,1301.65,1
0,1,3,15,315,2750.85,57767.85,0
0,1,3,15,945,2750.85,173303.55,0
1,1,5,0,90,0.0,792.9,0
1,1,0,0,540,0.0,275167.8,0
15,0,6,0,60000,0.0,5100.0,0
15,0,6,0,12000,0.0,960.0,1
22,1,0,0,30,0.0,154815.9,0
4,1,3,0,180,0.0,590.4,0
6,1,5,0,180,0.0,383.4,1
13,3,3,0,180,0.0,4330.8,0
13,3,3,0,180,0.0,2887.2,0
4,1,5,2200,2200,4468.42,4468.42,1
5,1,3,0,210,0.0,7104.3,1
5,1,0,0,14,0.0,3262.0,0
5,1,3,0,210,0.0,10443.3,1
5,1,3,0,182,0.0,342.16,0
5,1,19,0,3,0.0,5011.23,0
5,3,0,0,224,0.0,4536.0,1
5,3,8,0,60,0.0,511.2,1
5,0,2,0,15750,0.0,3150.0,0
6,1,5,0,180,0.0,376.2,1
10,0,6,0,1800,0.0,378.0,1
30,4,0,0,12,0.0,4198.8,1
4,3,8,0,1200,0.0,12696.0,0
4,3,9,0,2400,0.0,29592.0,1
31,3,3,0,360,0.0,18849.6,0
32,1,4,0,190,0.0,474333.1,1
33,1,0,0,3000,0.0,201660.0,1
1,1,20,0,9000,0.0,773910.0,0
0,1,3,0,1456,0.0,160902.56,1
13,3,3,0,1620,0.0,19828.8,0
13,3,3,0,4800,0.0,1056.0,0
8,1,3,0,360,0.0,993.6,0
22,1,5,0,720,0.0,51055.2,0
3,1,3,0,120,0.0,50.4,0
3,1,3,0,160,0.0,8.0,0
3,1,1,0,12,0.0,3786.36,0
3,1,3,0,30,0.0,14.1,0
3,1,3,0,60,0.0,9.0,1
3,1,3,0,120,0.0,621.6,0
3,1,3,0,140,0.0,390.6,1
3,1,3,0,90,0.0,142.2,1
3,1,1,0,3,0.0,12485.55,1
3,1,3,0,30,0.0,21.6,1
3,3,3,0,180,0.0,142.2,0
3,3,16,0,18,0.0,117.0,1
3,0,6,0,19200,0.0,2304.0,0
33,1,1,37,37,494181.99,494181.99,0
15,0,6,0,12000,0.0,1110.0,1
15,0,6,0,19200,0.0,1680.0,0
10,0,6,0,57600,0.0,25920.0,1
34,4,0,0,1,0.0,1650.0,1
17,0,6,0,6000,0.0,120.0,1
3,0,6,0,1200,0.0,144.0,0
10,0,6,0,43200,0.0,9072.0,0
10,0,6,0,25200,0.0,27720.0,1
4,1,3,0,360,0.0,111848.4,0
0,1,1,0,27,0.0,142737.66,1
0,1,1,0,66,0.0,68593.8,0
10,0,6,0,19200,0.0,9408.0,1
35,2,0,0,34500,0.0,10350.0,1
7,2,0,0,7000,0.0,73220.0,0
2,3,3,0,600,0.0,168.0,1
3,2,0,0,180,0.0,270.0,0
3,1,1,0,10,0.0,170.6,1
3,1,8,0,60,0.0,1005.6,1
3,1,1,0,5,0.0,600.0,1
3,1,1,0,5,0.0,20809.25,1
3,3,16,0,10,0.0,63.9,0
6,1,3,0,360,0.0,205.2,0
6,1,3,0,600,0.0,282.0,1
6,1,3,0,360,0.0,496.8,0
6,3,3,0,2106,0.0,2232.36,1
36,1,3,0,5700,0.0,3648.0,0
4,1,18,0,540,0.0,24040.8,1
13,1,3,0,180,0.0,7380.0,1
8,3,9,0,120,0.0,9740.4,0
8,1,0,0,1200,0.0,6636.0,0
8,3,5,0,196,0.0,1438.64,1
3,7,3,0,28,0.0,5.04,1
3,2,16,0,6,0.0,105.0,1
3,1,3,0,40,0.0,8.4,0
3,1,3,0,130,0.0,247.0,0
3,1,3,0,270,0.0,62.1,1
3,1,3,0,30,0.0,33.6,1
3,1,3,0,120,0.0,52.8,0
3,1,4,0,60,0.0,487.2,1
3,1,4,0,240,0.0,10476.0,0
3,1,3,0,210,0.0,1087.8,1
3,3,3,0,80,0.0,19.2,1
3,3,3,0,180,0.0,207.0,0
3,3,3,0,180,0.0,1321.2,0
3,3,3,0,28,0.0,19.04,0
3,3,3,0,50,0.0,29.0,0
3,3,16,0,6,0.0,38.34,1
6,3,3,2520,2520,3250.8,3250.8,0
3,1,1,0,523,0.0,5230.0,1
22,1,0,0,10,0.0,51605.3,0
1,1,10,0,180,0.0,810.0,0
4,1,3,0,616,0.0,1478.4,0
37,1,5,0,720,0.0,229125.6,0
38,2,11,0,50,0.0,500.0,1
38,2,12,0,18000,0.0,9000.0,0
7,0,6,0,27600,0.0,26634.0,1
39,2,0,0,12000,0.0,2448.0,0
40,2,15,0,80,0.0,3120.0,1
41,2,0,0,12000,0.0,8880.0,0
3,1,3,0,60,0.0,32.4,1
3,1,3,0,60,0.0,39.0,0
3,1,22,0,2,0.0,60.04,0
3,1,3,0,84,0.0,14945.28,1
3,1,3,0,84,0.0,8.4,1
1,1,16,0,50,0.0,4380.5,1
42,3,3,0,3300,0.0,891.0,0
22,1,0,0,80,0.0,412842.4,0
0,2,0,0,1,0.0,13800.0,0
0,2,0,0,6,0.0,3990.0,0
0,2,0,0,6,0.0,2640.0,0
0,2,0,0,12,0.0,1258.8,1
0,2,0,0,3,0.0,1380.0,0
0,2,0,0,3,0.0,555.0,1
0,2,0,0,1,0.0,132.0,1
0,2,0,0,1,0.0,190.0,1
0,2,0,0,48,0.0,5275.2,1
43,1,0,0,3600,0.0,6984.0,0
13,3,5,0,10800,0.0,24948.0,0
22,1,3,0,25020,0.0,220926.6,0
44,1,16,0,300,0.0,5697.0,1
4,1,1,0,24,0.0,875893.2,1
1,1,13,0,100,0.0,65711.0,0
45,1,5,0,336,0.0,40716.48,1
46,1,3,0,4500,0.0,235620.0,0
1,1,17,0,60,0.0,69343.8,0
13,1,0,0,2000,0.0,207620.0,0
1,1,1,0,270,0.0,540000.0,1
37,1,5,0,7920,0.0,561607.2,1
1,1,16,140,140,4818.8,4818.8,1
1,1,0,924,924,5488.56,5488.56,0
37,1,1,0,2,0.0,19111.64,1
25,1,14,4,900,40.16,9036.0,1
27,1,3,0,168,0.0,87736.32,1
1,1,17,0,30,0.0,28213.2,1
27,1,3,0,270,0.0,70002.9,0
1,1,4,0,300,0.0,197133.0,1
3,0,6,0,6000,0.0,540.0,1
3,0,6,0,9600,0.0,864.0,0
8,1,10,0,7000,0.0,38710.0,1
8,3,3,0,9000,0.0,16830.0,1
8,1,0,150,150,22240.5,22240.5,0
0,1,1,0,27,0.0,142737.66,1
0,1,1,0,27,0.0,142737.66,1
